method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
issf,phi=0.1,narrow,2,4496,0.9390569395017794,0.9316822523525632,0.9456819642011929,0.05716192170818506,0.05074633467263764,0.06433362725313328,0.003781138790035587,0.002362139565187971,0.006047400895080677,701.0765040265277
issf,phi=0.2,narrow,2,4425,0.9446327683615819,0.9375005731392897,0.9509936100800876,0.05107344632768362,0.04496743531375446,0.057958259748358394,0.004293785310734463,0.002750608428814907,0.006696918436900947,704.8925837320575
issf,phi=0.5,narrow,2,4304,0.945631970260223,0.938451819909055,0.9520173189747889,0.05018587360594796,0.04405484599847125,0.057119161885198395,0.004182156133828996,0.002647085523319198,0.0066015368029984645,698.3665847665848
issf,phi=1.0,narrow,2,4148,0.9508196721311475,0.9438115293328191,0.9569935495507296,0.04387656702025072,0.038054028665239874,0.050543185640816495,0.005303760848601736,0.0035051819194133254,0.00801780103831801,700.4503042596349
issf,phi=1.5,narrow,2,3608,0.9453991130820399,0.9375005774580719,0.952350184546552,0.04462305986696231,0.03835623039281554,0.05185857858441092,0.009977827050997782,0.007215989446414095,0.013782052106681698,650.0061565523307
issf,phi=2.0,narrow,2,3756,0.935569755058573,0.9272641904252534,0.9429852371038212,0.056176783812566564,0.049256009512569074,0.06400450656874669,0.00825346112886049,0.0058206360963886095,0.011691165464613323,668.243312464428
issf,phi=3.0,narrow,2,3424,0.9386682242990654,0.9301291908063417,0.9462240222476103,0.04935747663551402,0.04259339946635901,0.05713162866796319,0.01197429906542056,0.008839098915374363,0.01620336512380411,655.0121344119477
rl_A,,narrow,2,4628,0.93971477960242,0.9324857811997345,0.9462143885124594,0.057476231633535005,0.051130210744091936,0.06455630150624064,0.0028089887640449437,0.0016423521298648313,0.004800355237330109,718.9227408599678
rl_A_i50,,narrow,2,4512,0.9394946808510638,0.9321568263536351,0.9460847842467013,0.05784574468085106,0.0514024998498687,0.06504126558247064,0.0026595744680851063,0.0015220605337787313,0.0046432575765819155,719.4762915782024
rl_B,,narrow,2,4403,0.9373154667272314,0.9297673537615592,0.9441011329115265,0.05791505791505792,0.05139311014867599,0.06520776790421343,0.0047694753577106515,0.0031216988637248664,0.007280671850030762,715.4194330021808
